City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Kaitangata,NZ,-46.2817,169.8464,54.23,84,100,6.2,overcast clouds
166,Sterling,US,39.0062,-77.4286,77.86,67,75,3.0,broken clouds
167,Mar Del Plata,AR,-38.0023,-57.5575,66.22,43,0,8.01,clear sky
168,Nanortalik,GL,60.1432,-45.2371,33.44,63,33,6.6,scattered clouds
169,Khomeyn,IR,33.6423,50.0789,50.22,26,0,2.77,clear sky
170,Saldanha,ZA,-33.0117,17.9442,66.25,77,40,10.49,scattered clouds
171,Lensk,RU,60.7253,114.9278,34.02,84,100,7.2,overcast clouds
172,Prince Rupert,CA,54.3161,-130.3201,51.49,71,100,2.3,overcast clouds
173,Goya,AR,-29.14,-59.2626,85.66,26,0,6.26,clear sky
174,Upernavik,GL,72.7868,-56.1549,15.12,62,8,5.88,clear sky
175,Biak,ID,-0.9131,122.8766,76.15,86,100,0.34,overcast clouds
176,Grand Gaube,MU,-20.0064,57.6608,73.8,80,1,3.0,light rain
177,Castro,BR,-24.7911,-50.0119,64.27,82,75,3.09,broken clouds
178,Fort Nelson,CA,58.8053,-122.7002,29.79,100,90,2.3,fog
179,Bairiki,KI,1.3292,172.9752,84.2,74,20,1.14,few clouds
180,Horten,NO,59.4155,10.4853,52.77,57,90,7.0,overcast clouds
181,North Bend,US,43.4065,-124.2243,57.94,97,90,13.8,overcast clouds
182,Kamina,CD,-8.7386,24.9906,66.04,95,100,4.68,overcast clouds
183,Ghatanji,IN,20.1333,78.3167,68.85,60,2,3.04,clear sky
184,Aswan,EG,24.0934,32.907,79.9,29,0,9.22,clear sky
185,Bubaque,GW,11.2833,-15.8333,83.1,74,86,6.38,overcast clouds
186,Mecca,SA,21.4267,39.8261,79.88,62,2,1.83,clear sky
187,Bayji,IQ,34.9311,43.487,68.29,31,0,2.75,clear sky
188,Herne Bay,GB,51.373,1.1286,53.62,92,99,10.27,overcast clouds
189,Mount Gambier,AU,-37.8333,140.7667,37.31,93,9,5.75,clear sky
190,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,2.3,few clouds
191,Tatawin,TN,32.9297,10.4518,72.48,58,55,9.35,broken clouds
192,Katsuura,JP,35.1333,140.3,56.19,93,100,27.89,overcast clouds
193,Guerrero Negro,MX,27.9769,-114.0611,71.76,61,28,14.9,scattered clouds
194,Campbell River,CA,50.0163,-125.2446,50.72,91,90,11.01,mist
195,Provideniya,RU,64.3833,-173.3,21.31,58,90,6.71,overcast clouds
196,Makakilo City,US,21.3469,-158.0858,82.72,56,40,9.22,scattered clouds
197,Saint-Augustin,CA,51.226,-58.6502,40.89,58,63,8.08,broken clouds
198,Westport,US,41.1415,-73.3579,73.06,88,99,1.99,overcast clouds
199,Cherskiy,RU,68.75,161.3,-11.79,96,99,1.83,overcast clouds
200,Mount Isa,AU,-20.7333,139.5,73.17,56,75,0.0,broken clouds
201,Alice Springs,AU,-23.7,133.8833,71.15,43,14,5.75,few clouds
202,San Felipe,VE,10.3399,-68.7425,79.03,80,75,8.1,broken clouds
203,Sao Carlos,BR,-22.0175,-47.8908,79.63,71,94,7.25,overcast clouds
204,Buchanan,LR,5.8808,-10.0467,78.76,88,100,6.31,moderate rain
205,Emba,KZ,48.8264,58.1442,40.12,74,55,12.01,broken clouds
206,East London,ZA,-33.0153,27.9116,64.83,78,88,15.48,light rain
207,Orange Cove,US,36.6244,-119.3137,59.81,89,100,6.22,overcast clouds
208,Kedrovyy,RU,56.1667,91.8167,46.81,76,82,11.99,broken clouds
209,Tasiilaq,GL,65.6145,-37.6368,30.31,85,100,14.16,overcast clouds
210,Hay River,CA,60.8156,-115.7999,42.78,81,75,9.22,broken clouds
211,Leningradskiy,RU,69.3833,178.4167,7.97,95,100,15.21,overcast clouds
212,Coos Bay,US,43.3665,-124.2179,58.01,97,90,13.8,overcast clouds
213,Saint Anthony,US,45.0205,-93.218,55.42,43,1,1.01,clear sky
214,Sibolga,ID,1.7427,98.7792,75.69,89,100,2.33,overcast clouds
215,Sinnamary,GF,5.3833,-52.95,78.13,88,100,11.12,moderate rain
216,Moron,AR,-34.6534,-58.6198,85.75,26,23,1.99,few clouds
217,Gat,IL,31.61,34.7642,68.81,78,0,3.6,clear sky
218,Carnarvon,AU,-24.8667,113.6333,62.67,63,40,12.66,scattered clouds
219,Jinchang,CN,38.4953,102.1739,42.73,65,96,5.28,overcast clouds
220,Cayenne,GF,4.9333,-52.3333,77.04,92,75,1.14,moderate rain
221,Padang,ID,-0.9492,100.3543,76.78,87,96,1.79,overcast clouds
222,Santa Cruz,BO,-17.8,-63.1667,80.65,47,75,4.61,broken clouds
223,Norman Wells,CA,65.282,-126.8329,23.04,93,90,3.44,overcast clouds
224,Christchurch,NZ,-43.5333,172.6333,59.02,85,90,1.14,overcast clouds
225,Thompson,CA,55.7435,-97.8558,41.16,60,75,10.36,broken clouds
226,Roald,NO,62.5833,6.1333,50.32,76,75,8.05,broken clouds
227,Bac Lieu,VN,9.285,105.7244,77.7,89,99,5.17,overcast clouds
228,Nsanje,MW,-16.92,35.262,78.78,78,33,10.04,scattered clouds
229,Itoman,JP,26.1247,127.6694,71.62,64,20,12.66,few clouds
230,Coihaique,CL,-45.5752,-72.0662,48.15,76,90,4.61,light intensity shower rain
231,Ulladulla,AU,-35.35,150.4667,59.88,63,2,2.28,clear sky
232,Lakhdenpokhya,RU,61.5198,30.1992,44.82,88,100,11.1,overcast clouds
233,Green River,US,41.5286,-109.4662,65.16,33,100,10.0,overcast clouds
234,Sechura,PE,-5.5569,-80.8222,75.67,59,94,14.65,overcast clouds
235,Thunder Bay,CA,48.4001,-89.3168,49.98,59,20,8.05,few clouds
236,Groningen,NL,53.25,6.75,53.64,81,90,8.05,overcast clouds
