City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
542,Buritizeiro,BR,81.52,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
543,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
547,Amapa,BR,85.14,overcast clouds,1.0,-52.0,
550,Pemangkat,ID,79.3,broken clouds,1.1667,108.9667,Ramah Kost KITA
551,Mitsamiouli,KM,79.0,few clouds,-11.3847,43.2844,Foyer ADM
554,Monrovia,LR,78.57,moderate rain,6.3005,-10.7969,Sunset Inn
557,Wahiawa,US,80.8,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
558,Columbia,US,80.28,overcast clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
561,Canavieiras,BR,76.37,overcast clouds,-15.675,-38.9472,Bahiadomizil
562,Kavaratti,IN,82.06,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
563,Ahuimanu,US,83.79,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
567,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
570,Yanam,IN,75.27,overcast clouds,16.7333,82.2167,The Regency Hotel
576,Buford,US,78.19,broken clouds,34.1207,-84.0043,"Holiday Inn Express & Suites Buford-Mall of GA, an IHG Hotel"
578,Balikpapan,ID,75.07,broken clouds,-1.2675,116.8289,ibis Balikpapan
580,Sur,OM,80.87,clear sky,22.5667,59.5289,Sur Plaza Hotel
581,Adre,TD,81.77,overcast clouds,13.4667,22.2,
583,Le Vauclin,MQ,84.33,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
586,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
590,Escada,BR,81.34,clear sky,-8.3592,-35.2236,Constantino recepções
592,Tarata,BO,76.42,clear sky,-17.6167,-66.0167,Hacienda castillo
593,Kaputa,ZM,75.09,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
598,Nuevo Ideal,MX,76.37,clear sky,24.8875,-105.0728,Hotel Las Águilas
600,Roebourne,AU,75.02,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
601,Birao,CF,77.81,overcast clouds,10.2849,22.7882,
602,Sapouy,BF,79.74,overcast clouds,11.5544,-1.7736,Auberge St Louis
603,Bonfim,BR,83.55,overcast clouds,3.0833,-59.95,
604,Srandakan,ID,78.55,overcast clouds,-7.9386,110.2506,Puri Brata
605,Yaan,NG,78.17,overcast clouds,7.3833,8.5667,
608,Kalmunai,LK,78.66,light rain,7.4167,81.8167,VS Villa
612,Moengo,SR,78.75,heavy intensity rain,5.6167,-54.4,Masanga
624,Hambantota,LK,78.73,heavy intensity rain,6.1241,81.1185,Bungalow 63
629,Ati,TD,89.98,clear sky,13.2154,18.3353,
635,Barra,BR,84.81,broken clouds,-11.0894,-43.1417,Motel Albatroz
636,Kilimatinde,TZ,75.99,overcast clouds,-5.85,34.95,
640,Honiara,SB,82.04,few clouds,-9.4333,159.95,Heritage Park Hotel
641,Luanda,AO,76.48,overcast clouds,-8.8368,13.2343,Hotel Fórum
652,Las Vegas,US,80.38,broken clouds,36.175,-115.1372,Plaza Hotel & Casino
659,Gigmoto,PH,80.29,overcast clouds,13.7796,124.39,Cj's Travellers Inn
667,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
669,Valparaiso,CL,77.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
671,Danville,US,77.61,scattered clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
674,Mangrol,IN,76.57,clear sky,21.1167,70.1167,Hotel The Royal Honours
678,Camopi,GF,75.6,overcast clouds,3.1655,-52.3158,La pousada
